libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.30.1-1
libisl 0.27-1
libjpeg-turbo 3.1.3-1
libjxl 0.11.2-2
libkexiv2 25.12.2-1
libksba 1.6.8-1
libkscreen 6.6.2-1
libksysguard 6.6.2-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.12-1
liblsan 15.2.1+r604+g0b99615a8aef-1
libmakepkg-dropins 20-1
libmalcontent 0.13.1-1
libmbim 1.34.0-1
libmd 1.1.0-2
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmtp 1.1.23-1
libmysofa 1.3.3-1
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.68.0-1
libnghttp3 1.15.0-1
libngtcp2 1.21.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.54.3-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-1
libnvme 1.16.1-3
libobjc 15.2.1+r604+g0b99615a8aef-1
libogg 1.3.6-1
libopenmpt 0.8.4-1
libp11-kit 0.26.2-1
libpcap 1.10.6-1
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.10-2
libplacebo 7.360.0-2
libplasma 6.6.2-1
libplist 2.7.0-3
libpng 1.6.55-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.9.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 15.2.1+r604+g0b99615a8aef-1
libraw1394 2.1.2-4
librsvg 2:2.61.4-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.21-1
libsoup3 3.6.6-1
libsoxr 0.1.3-4
libssc 0.4.1-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstdc++ 15.2.1+r604+g0b99615a8aef-1
libstemmer 3.0.1-1
libsysprof-capture 49.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.0-4
libtsan 15.2.1+r604+g0b99615a8aef-1
libubsan 15.2.1+r604+g0b99615a8aef-1
libunibreak 6.1-1
libunistring 1.4.1-1
libunwind 1.8.2-1
liburcu 0.15.5-1
liburing 2.14-1
libusb 1.0.29-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libva 2.22.0-1
libva-nvidia-driver 0.0.16-1
libvdpau 1.5-4
libverto 0.3.2-5
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.15.2-3
libwacom 2.18.0-2
libwbclient 2:4.23.6-1
libwebp 1.6.0-2
libwireplumber 0.5.13-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-1
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.1-5
libxmlb 0.3.25-1
libxmu 1.3.1-1
libxpm 3.5.18-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.26.4-1
linux 6.18.13.arch1-1
linux-api-headers 6.19-1
linux-firmware 20260221-1
linux-firmware-amdgpu 20260221-1
linux-firmware-atheros 20260221-1
linux-firmware-broadcom 20260221-1
linux-firmware-cirrus 20260221-1
linux-firmware-intel 20260221-1
linux-firmware-mediatek 20260221-1
linux-firmware-nvidia 20260221-1
linux-firmware-other 20260221-1
linux-firmware-radeon 20260221-1
linux-firmware-realtek 20260221-1
linux-firmware-whence 20260221-1
linux-headers 6.18.13.arch1-1
llvm-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.34-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
md4c 0.5.2-1
mdadm 4.5-2
media-player-info 26-1
mesa 1:26.0.1-1
mesa-utils 9.0.0-7
milou 6.6.2-1
minizip 1:1.3.2-2
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.23.0-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
mtdev 1.1.7-1
nano 8.7.1-1
ncurses 6.6-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
networkmanager-qt 6.23.0-1
nm-connection-editor 1.36.0-1
noto-fonts 1:2026.03.01-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.38.2-1
nss 3.121-1
nvidia-open-dkms 590.48.01-4
nvidia-utils 590.48.01-4
ocean-sound-theme 6.6.2-1
ocl-icd 2.3.4-1
onetbb 2022.3.0-4
opencore-amr 0.1.6-2
opencv 4.13.0-2
openexr 3.4.6-1
openjpeg2 2.5.4-1
openjph 0.26.3-3
openssh 10.2p1-2
openssl 3.6.1-1
openxr 1.1.57-1
opus 1.6.1-1
orc 0.4.42-1
ostree 2025.7-3
oxygen 6.6.2-1
oxygen-cursors 6.6.2-1
oxygen-icons 1:6.1.0-2
oxygen-sounds 6.6.2-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260213-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.0-2
parted 3.6-2
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.0-1
perl-curses 1.45-3
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-term-animation 2.6-14
perl-timedate 2.34-1
pinentry 1.3.2-2
pipewire 1:1.4.10-2
pipewire-audio 1:1.4.10-2
pipewire-pulse 1:1.4.10-2
pipewire-session-manager 1:1.4.10-2
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.6.2-1
plasma-activities-stats 6.6.2-1
plasma-browser-integration 6.6.2-1
plasma-desktop 6.6.2-1
plasma-disks 6.6.2-1
plasma-firewall 6.6.2-1
plasma-integration 6.6.2-1
plasma-keyboard 6.6.2-1
plasma-login-manager 6.6.2-1
plasma-meta 6.6-1
plasma-nm 6.6.2-1
plasma-pa 6.6.2-1
plasma-systemmonitor 6.6.2-1
plasma-thunderbolt 6.6.2-1
plasma-vault 6.6.2-1
plasma-welcome 6.6.2-1
plasma-workspace 6.6.2-1
plasma-workspace-wallpapers 6.6.2-1
plasma5support 6.6.2-1
polkit 127-3
polkit-kde-agent 6.6.2-1
polkit-qt6 0.200.0-1
poppler 26.02.0-2
poppler-qt6 26.02.0-2
popt 1.19-2
portaudio 1:19.7.0-3
powerdevil 6.6.2-1
ppp 2.5.2-1
print-manager 1:6.6.2-1
prismlauncher 10.0.5-1
prison 6.23.0-1
procps-ng 4.0.6-1
protobuf 33.1-4
protobuf-c 1.5.2-8
psmisc 23.7-1
pulse-native-provider 1:1.4.10-2
pulseaudio-qt 1.8.1-1
purpose 6.23.0-1
python 3.14.3-1
python-certifi 2026.01.04-1
python-colorama 0.4.6-6
python-gobject 3.54.5-2
python-psutil 7.2.2-1
python-pygdbmi 0.11.0.0-6
python-sentry_sdk 2.53.0-1
python-setproctitle 1.3.7-2
python-shtab 1.8.0-2
python-termcolor 3.3.0-1
python-urllib3 2.6.3-1
qca-qt6 2.3.10-4
qcoro 0.13.0-1
qqc2-breeze-style 6.6.2-1
qqc2-desktop-style 6.23.0-2
qrencode 4.1.1-4
qt6-5compat 6.10.2-1
qt6-base 6.10.2-1
qt6-declarative 6.10.2-1
qt6-imageformats 6.10.2-1
qt6-location 6.10.2-1
qt6-multimedia 6.10.2-1
qt6-multimedia-ffmpeg 6.10.2-1
qt6-networkauth 6.10.2-1
qt6-positioning 6.10.2-1
qt6-quick3d 6.10.2-1
qt6-quicktimeline 6.10.2-1
qt6-sensors 6.10.2-1
qt6-shadertools 6.10.2-1
